V_STT,I_STT,I_coulomb,I_filamen,P_vakum,I_berkas
300,2.8,32,12.69,8.5e-06,850.0
300,0.3,38,7.45,8.7e-06,15.01
300,3.2,31,13.0,8.2e-06,850.0
300,0.2,40,2.59,8.7e-06,0.02
300,3.2,31,13.01,8.400000000000001e-06,825.0
300,9.7,40,10.94,1e-05,2859.9
300,0.5,50,5.02,8.7e-06,0.0
300,0.2,40,5.72,8.7e-06,0.74
300,0.5,46,7.3,8.7e-06,17.36
300,3.0,31,12.69,8.2e-06,925.0
300,3.2,31,13.01,8.400000000000001e-06,850.0
300,0.4,50,6.53,8.7e-06,3.86
300,2.4,32,12.7,8.7e-06,750.0
300,11.2,40,11.28,1.4000000000000001e-05,3300.0
300,2.2,42,9.42,9.3e-06,516.0
300,3.0,31,12.69,8.2e-06,950.0
300,3.7,38,10.11,8.7e-06,965.0
301,2.2,32,12.7,8.900000000000001e-06,675.0
300,0.2,40,3.11,8.7e-06,0.02
300,0.4,54,2.53,8.5e-06,0.13
300,3.0,31,12.69,8.2e-06,950.0
300,2.5,32,13.01,9.1e-06,650.0
300,3.2,31,13.0,8e-06,850.0
301,2.2,32,12.7,9e-06,675.0
300,2.6,32,13.01,9e-06,700.0
300,9.0,38,10.8,1.3000000000000001e-05,2562.0
300,2.7,32,12.69,8.400000000000001e-06,825.0
300,0.6,36,8.67,8.7e-06,113.02
300,2.9,32,13.01,8.7e-06,800.0
300,0.2,40,0.68,8.7e-06,0.03
